,Amount,Average,Community_ID,Deviation,Drawee,Exporter,Frequency,Linkage
235,3330716.97,3330716.97,8,,"M/S ANEPOL HARCIAREK SPOLKA JAWNA,","UNITED CASING CORP, PVT LTD",1,0
236,1197582.21,1197582.21,14,,M/S fatima ibrahim hayyat khan trad,FAIR EXPORT DEAL,1,0
237,4490540.21,4490540.21,14,,M/S fatima ibrahim hayyat khan trad,Feroze 1888 Mill Limited,1,1
238,37936821.62,3793682.162,38,2313935.749,MADISON INDUSTRIES INC,THREAD EXPERTS,10,0
239,2168513.73,2168513.73,39,,MAGID GLOVE AND SAFETY,KAYSONS INTERNATIONAL PRIVATE LTD.,1,0
240,3894939.86,1947469.93,39,1967253.146,MAGID GLOVE AND SAFETY,UNIQUE ENTERPRISES PRIVATE LIMITED,2,0
241,1216974.13,1216974.13,7,,MAHVEER TRADERS,M NADEEM & CO,1,0
242,2950453.68,1475226.84,7,43507.57314,MAHVEER TRADERS,UMAR & COMPANY,2,0
243,65120682.23,3256034.112,18,2275894.482,MAINPOL GMBH DAIMLERSTR,M.S LEATER COORDINATOR,20,0
244,100237185.5,6264824.093,2,2989580.258,BTEX INTERNATIONAL LLC,A I TEXTILES,16,0
